满意,最不满意,空间,动力,操控,电耗,舒适性
这款车我最满意的，我认为是它的动力和空间的表现，电动车的动力提速真的是挺快的，驾驶起来也都很稳，这款车没有什么缺点，我认为优点很多，平时作为代步用车起步的瞬间还是很快的，还有一点，这款车的空间也挺大的，头部的空间确实也都挺充足的，没有特别的拥挤，别看车子小，但是空间利用的还算是非常充分的。,车子的缺点就是它的操控性稍微有一点差劲，车子比较低，视线不是特别好，转向的时候还会有盲区，其他的没有什么太大的问题，整体优点大于缺点吧，毕竟价格也挺便宜的。【空间,空间：启辰D60ev新能源这款车的空间表现是挺优秀的，头部的空间也都非常的充足，整车给我的感觉就是很值得入手，空间优秀，后备箱的空间也不错，平时放一些物件也非常的方便。,...,,,
这款车最最满意的就是它的续航里程的官方续航里程405，实际续航里程应该达到300吧，到400之间吧，现在天气热了，续航里程基本上还是和官方一致的，这个月我刚买的车目前行驶了1000公里，感觉还是挺不错的，最满意的还有他的操控表现也是非常好，电动车开起来舒服，转向的时候灵敏度也都很高，转弯的时候也都非常的轻松，这款车满意的地方真的是挺多。,最不满意的就是它的空间，这个空间确实有点小，头部的空间不充足并且感觉有点顶头，我身高180乘坐起来觉得就会不舒服，感觉头部基本上没有一圈的距离的，但是他的后备箱空间还可以，开口还是挺大的，放点大东西也没问题。【空间,空间：这款车的缺点就是空间的表现有点差劲，头部的空间属于比较小的，毕竟车子也都比较低，车...,,,,
D60EV这款车我比较满意就是价格上，像这款车落地还不到15万的价格，续航里程也在400公里，充电速度还挺快的，快充半个小时就够了，400公里的续航里程，我可以用两周的时间，等于说一个月充两次电就可以了，还是觉得方便的。,这款车我觉得他车子的减震效果不太好，还有就是灯光配置也有点掉价，近光灯和远光灯都是卤素光源的，晚上照明的效果不是很好。【空间,空间：这款车子的空间可以说是够用的，因为它的轴距也是达到了两米七多，后尾箱的容积都比较深。,动力：纯电动汽车一般起步的时候都是挺猛的，加速的过程也可以，电池快没电的情况下上坡会稍微有点肉，不过不太影响什么。,操控：我觉得这款车子开起来确实是挺好开的，像刹车和油...,,
启辰D60EV作为一台新能源车型，这款车的销量还是可以的，我们这里卖的非常好，因为我们这里的出租车都是同款，最满意的还是它的续航里程，虽然价格不算太高，但是它缺乏旅程还是不错的，400公里实际能跑到三百七八吧，应该是没有问题。,最不满意的是这款车的内饰，包括它的空间确实有点小，头部没有什么距离，毕竟车子比较低。【空间,空间：空间确实不是很大，头部没有太大的距离，并且这款车后备箱的空间表现也是平平。,动力：对电动车的动力绝对是没有挑剔的，开过电动车的朋友都知道，起步是非常非常快的，没有一点点的延迟。,操控：方向盘还是挺轻的，操控性也都非常好，灵敏度包括转向转弯的时候的灵敏感都非常的高，这款车开起来非常的...,,
最满足的便是启辰D60ev的动力和它的经济型了，一款新能源车子便是省心，而且也相应了国家的倡议，环保又节能了，还有便是车子一点不比燃油车子差，速度起的很快，脚下能一向感触到远远不断的动力输出。,这车子的滤震作用一般，在欠好的路况上需求减速慢点了，不然咯噔的有点不舒畅，还有便是充电车子在冬天运用的话，城区里边能看出来电耗偏高，和匀速相比较，有点距离。【空间,我对车子的空间没有多大要求，自己开的多一些，满载机会不多，试坐的时候感触到了后排的诚意，高度和宽度都不错。,启辰D60ev的动力表现很不错，起步很迅速，高速上面超车都很有自信。,这车子比燃油车子还好开呢，方向盘够慎重的，带着一些电子辅助，常常舒畅的一...,,
我最满意的应该算是车子的操控性，我觉得操控起来还是比较方便的，主要还是因为它的方向盘不笨重，转向的时候只要轻轻的转动就可以，油门和刹车也挺顺滑的。,有时候全家人一起出去旅游的话，带的东西很多，后备箱就显得没有那么大，但是平时正常使用还算不错。【空间,乘坐空间是足够宽敞的，全家5个人乘坐也不会拥挤，后备箱也还可以，只是偶尔全家出行会显得有点小。,动力方面也没有觉得有任何不足的情况，平时在市区内行驶，满足日常的驾驶还是很轻松的，跑高速也并不比别的车子动力差。,我个人感觉它还是很容易操控的，我也没有经过特意的去磨合，只是简单的适应适应就可以轻松上手。,要是一段时间经常在市区内行驶的话，耗电...,
启辰D60ev作为一台纯电动的车型，这款车销量属于一般满意的地方，就是它的动力还是挺强的，但是试驾了一次就被吸引了，总之电动车的优点就是出行会更加方便一点。,最不满意的就是它的续航历程确实有点少，冬天的时候续航里程也就是在320左右，官方是400，实际相差还是挺多的。【空间,空间：这款车的空间还是挺不错的，空间表现也都可以，头部的空间还是挺大的。,动力：动力也都挺不错，提速也都挺快的，超车的时候也都非常轻。电动车提速还是相当有劲。,操控：操控性也特别好，方向盘的灵敏度转向的时候都是非常的轻松。,电耗：缺点就是这款车的续航里程，冬天和官方相差100，确实有点多。实际是400，基本上在冬...,
启辰D60EV作为一台新能源车型，这款车畅销的还是挺不错的，在我们这里还是能经常见到的，我选择这款车最满意的就是它的续航里程，还有出行不限号比较方便，这也是这款车的优点。,没有什么不满意的，只是空间稍微有点小，所以也可以接受。【空间,空间：空间是这款车的缺陷稍微有点小，毕竟是轿车，头部空间不是很大，这也是大家能看得出来的。,动力：这款车的动力表现还是挺不错的，提速挺快，开起来很不错，电动车提速真的是挺棒的。,操控：操控性特别好，方向也都挺清，开起来比较的稳，挺舒服，这款车给我最直观的感受就是方向比较轻。,"电耗：垫后还是可以接受的，充一次电基本上用个7,8天应该是没有什么问题。【舒...",
这款车确实是拥有很高的配置，虽然是次顶配的车型，但是整体的设计还是非常给力的，外观运动化十足，车内设计的也比较年轻化，没有什么不满意的地方，我对这款车的外观特别的喜欢。,缺点就是空间稍微有点小，毕竟是一台轿车，头部的空间不是特别的充足。然后方向感稍微欠佳了一点转向会有盲区。【空间,空间：这款车的空间表现真的是一般般，因为头部的空间特别的小，再加上这款车是一台轿车，后备箱的空间也不是特别大。,动力：电动车的提速效果是非常快的，开起来非常稳，提速真的是非常猛。,操控：操控感还是需要提升一点的，这款车a柱稍微宽了一点，转向的时候有点盲区，会有一些遮挡。,电耗：没有仔细观察过，反正没电就充充...,
我觉得这一款车子他确实颜值这块还是挺高的，一辆车子他总要在一方面占的比较多一点，这样才会比较吸引你。,我不满意的地方最主要的是他一些比较小方面的问题吧，就比如说这个车子的味道呀，还有隔音效果这些地方。【空间,空间：空间上我觉得满足日常家庭的一个使用是完全没有什么问题的。,动力：动力我感觉也还可以，因为动力他确实满足了我一般情况下的一个使用需求，基本上就是没有什么特别不够用的时候。,操控：操控起来确实手感各方面也都还可以，就是没有什么特别大的难度，我感觉驾驶起来还是非常容易的。,电耗：电耗也还行吧，反正目前来看他的表现还是不错的，我也期待他进一步的表现，总体来讲还是比较好的。【舒适...,
我就觉得这款这个价格挺合适的，而且外观看起来确实也不错，比较顺眼。,味道有一点大，我不是特别的喜欢，确实这个问题还是挺能受到影响，毕竟谁知道他健不健康。【空间,空间：空间还是可以的，因为当时去试驾的时候就感觉空间还是挺大的，头部的空余距离还是比较多的，就是没有什么压抑的感觉。,动力：动力的感觉也还是可以的，最起码你使用的时候起步的动力都是比较充足给力的，最重要的一个起步方面，他一点都不拖拉。,操控：操控的一个感觉还不错，反正整体来讲可以说是比较简单的，然后上手就会开方向盘是既灵活，然后高速的时候也比较的沉稳。,电耗：电耗这个问题也还行吧，反正整体的表现可以说也是比较好的一个地方。...,
最满足启辰D60ev的造型规划和空间体现了，封闭式的前中网添加了很有质感的棱形线条，大灯比较精致美观，腰身线条也是优雅的，比燃油车子看着更有档次更有注目点了，还有就是空间使用很给力，我们一家满载出行不拥堵，平常作业使用带个搭档都直夸这车子好宽阔。,D60ev的悬架规划的稍微有点硬，在通过高速上的那个减速地带感觉很颠簸，速度太快还简单有发飘的感觉，需要减速慢性，还有就是这新能源车子店里给的优惠也不高，除了补助就还有两个保养券，真心有点小气了。【空间,前后排的方位差不多少，我不到180的身高刚刚好，后边满员也不会影响视野，出行心情很不赖。,车子的动力起步就很迅速，高速上的机会不多，可是从起步到百迈也就是十秒足够了，速度很可...,,,
动力强劲！感觉百公里加速不超过5秒钟！静音效果很好！怠速基本上没有声音，加速的声音和噪音控制比较满意！,配置太低了，我买的网约车版本，经销商只有低配这款车！轮辋都是钢制的，大屏也是不带，没有天窗！为了跑网约车，确实没办法！后期自己加一加吧！【空间,空间：乘坐空间和后备箱空间表现很优秀，随时平时不会拉啥东西，但是跑出租车拉客的时候可以给客户营造舒服的体验！,动力：动力系统说是用的日产技术，具体是啥我忘记了！但是开起来感觉不错，提速特别好！虽然电动车都是这样，但是这款车更带劲！140kw的功率！,操控：方向盘，底盘，油门，刹车，控制衔接还是不错！开起来很舒服！方向盘就是不知道能不能调重一点，感觉有点轻！...,,
启辰D60ev是一台新能源车型，这款车比较方便出行不限号，并且续航里程还可以。,最不满意的是这款车的隔音和空间的表现稍微有点差。【空间,空间：空间确实有点小，这也是他的缺陷，因为这款车头部空间不大。,动力：动力表现好，因为提速还是挺快的，电动车比较有劲。,操控：这款车的操控性也是非常好的，方向感不错，转弯的时候非常的灵敏。,电耗：电耗的表现还是挺好的，新能源车型充一次电用了10天左右。,舒适性：隔音差了一点，噪音比较大，其他没有什么问题。【外观
1月购车用车到现在行驶的里程数不多，满意的还是续航里程和这款车的动力。,最不满意的是这款车的空间有点小，再加上操控性不是特别好。【空间,空间：空间确实有点小，当时试驾的时候就感觉到了，但是新能源车型这一块还是比较便宜的。,动力：动力没得说，提速还是挺快的。,操控：操控性一般，用于方向稍微有点重。,电耗：充一次电基本上能行驶7~8天没问题。,舒适性：悬挂和座椅还是挺舒服的。【外观
